#,Номер законопроекта,Категория,Тема,Название на сайте ГД,Название,Дата принятия,Время рассмотрения ,Субъект права законодательной инициативы,Форма законопроекта,Ответственный комитет,Комитеты-соисполнители,Отрасль законодательства,Тематический блок законопроектов,Профильный комитет,Предмет ведения,Описание,Польза гражданам,Польза государству
68,508713-7,Государственное строительство и конституционные права граждан,Гражданство и государственные символы,Порядок неоднократного продления содержания под стражей,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 27.12.2018 № 543-ФЗ «О внесении изменений в статью 109 Уголовно-процессуального кодекса Российской Федерации»,13.12.2018,155,Правительство Российской Федерации,Федеральный закон,Комитет Государственной Думы по государственному строительству и законодательству,нет,"180.060.000 Уголовный процесс, 180.060.010 Общие положения",Государственное строительство и конституционные права граждан,Комитет Государственной Думы по государственному строительству и законодательству,Ведение РФ,Закон конкретизирует порядок неоднократного продления меры пресечения в виде содержания обвиняемого под стражей для ознакомления с материалами уголовного дела.,нет,исключить вероятность произвольного и несоразмерного ограничения права на свободу и личную неприкосновенность на основании одной лишь необходимости ознакомления обвиняемого с материалами уголовного дела
69,527255-7,Государственное строительство и конституционные права граждан,Гражданство и государственные символы,Упрощенное получение гражданства,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 27.12.2018 № 544-ФЗ «О внесении изменений в Федеральный закон «О гражданстве Российской Федерации»,27.12.2018,142,Правительство Российской Федерации,Федеральный закон,"Комитет Государственной Думы по развитию гражданского общества, вопросам общественных и религиозных объединений","Комитет Государственной Думы по делам национальностей, Комитет Государственной Думы по делам Содружества Независимых Государств, евразийской интеграции и связям с соотечественниками",020.000.000 Основы государственного управления,Государственное строительство и конституционные права граждан,"Комитет Государственной Думы по развитию гражданского общества, вопросам общественных и религиозных объединений",Ведение РФ,"Закон упрощает прием в гражданство соотечественников-участников Государственной программы по переселению, а также дает Президенту РФ полномочия определять категории граждан, получающих гражданство РФ в упрощенном порядке.","иностранным гражданам, имеющим право на приобретение гражданства Российской Федерации в упрощенном порядке, — повысить эффективность обеспечения их прав","устранить препятствия для получения гражданства РФ соотечественниками; стимулировать переезд соотечественников в РФ; обеспечить учет правоприменительной практики в отношении граждан Украины, прибывших на территорию Российской Федерации в экстренном массовом порядке; пресекать развитие рынка криминальных услуг по фиктивной регистрации по месту пребывания; сокращать случаи отказа в приеме соотечественников в гражданство из‑за фиктивной регистрации; повысить безопасность"
70,560373-6,Государственное строительство и конституционные права граждан,Гражданство и государственные символы,Гарантии журналистам,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 27.12.2018 № 534-ФЗ «О внесении изменения в Закон Российской Федерации «О средствах массовой информации»,19.12.2018,1630,"Депутаты Государственной Думы М.Ю.Маркелов, В.Е.Деньгин, Я.Е.Нилов, Б.Л.Резник, Р.А.Шлегель, А.Г.Тарнавский, Л.Л.Левин, И.Е.Костунов, В.А.Крупенников, Н.И.Горовой, В.В.Пинский, О.В.Тимофеева, А.А.Ющенко, Р.Ю.Чуйченко; Член Совета Федерации А.П.Торшин",Федеральный закон,"Комитет Государственной Думы по информационной политике, информационным технологиям и связи","Комитет Государственной Думы по охране здоровья, Комитет Государственной Думы по конституционному законодательству и государственному строительству, Комитет Государственной Думы по финансовому рынку",070.000.000 Социальное обеспечение и социальное страхование,Социальная политика,"Комитет Государственной Думы по информационной политике, информационным технологиям и связи",Ведение РФ,"Закон предусматривает гарантии журналистам в «горячих точках», включая снабжение средствами защиты, специальным снаряжением, возможность пройти обучения специальным способам обеспечения безопасности, дополнительное страхование, добровольную геномную регистрацию.","журналистам: получать дополнительные гарантии (в первую очередь, страхование) при работе в опасных условиях; получать достоверную информацию из «горячих точек»",нет
71,508713-7,Государственное строительство и конституционные права граждан,Гражданство и государственные символы,Ознакомление с материалами уголовного дела,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 27.12.2018 № 543-ФЗ «О внесении изменений в статью 109 Уголовно-процессуального кодекса Российской Федерации»,13.12.2018,155,Правительство Российской Федерации,Федеральный закон,Комитет Государственной Думы по государственному строительству и законодательству,нет,"180.060.000 Уголовный процесс, 180.060.010 Общие положения",Государственное строительство и конституционные права граждан,Комитет Государственной Думы по государственному строительству и законодательству,Ведение РФ,"Закон предусматривает конкретизацию порядка неоднократного продления меры пресечения в виде содержания обвиняемого под стражей для ознакомления с материалами уголовного дела. Установление продления срока содержания под стражей каждый раз не более чем на 3 месяца не исключает возможности изменения в отношении обвиняемого меры пресечения в виде заключения под стражу на иную, более мягкую либо установления судом срока продления соответствующей меры пресечения менее 3 месяцев.","гражданам, обвиняемым и подозреваемым в совершении преступлений — реализовать право на ознакомление с материалами уголовного дела после истечения предельного срока содержания под стражей","судебным органам — в постановлении о продлении срока содержания обвиняемого под стражей указывать конкретную дату, до которой продлевается такой срок"
72,286369-7,Государственное строительство и конституционные права граждан,Гражданство и государственные символы,Борьба с незаконной миграцией,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 11.10.2018 № 366-ФЗ «О внесении изменений в статьи 2 и 23 Федерального закона «О миграционном учете иностранных граждан и лиц без гражданства в Российской Федерации»,27.09.2018,336,"Депутаты Государственной Думы И.А.Яровая, В.Б.Кидяев, Д.В.Саблин, Ю.В.Кобзев, В.Н.Карамышев, Н.В.Говорин, Н.Д.Боева, И.Е.Марьяш, Р.В.Кармазина, Т.И.Фролова, Л.Н.Тутова, М.С.Шеремет, Н.Н.Пилюс, А.А.Гетта, В.А.Елыкомов, З.Я.Рахматуллина, А.Г.Кобилев, Г.И.Данчикова, В.В.Бурматов, Ю.Н.Березуцкий, А.В.Чернышев, Д.Ю.Пирог, В.В.Иванов, Д.А.Белик, Д.В.Ламейкин, Р.М.Марданшин, А.В.Скоч, П.И.Пимашков, А.И.Петров, З.А.Аскендеров, Ю.Н.Швыткин, И.М.Тетерин, В.А.Шаманов, А.Н.Ткачев, В.М.Новиков, В.Н.Плотников, А.В.Канаев, В.П.Водолацкий, А.В.Ильтяков, И.Х.Зиннуров, М.В.Романов, В.В.Бузилов",Федеральный закон,"Комитет Государственной Думы по развитию гражданского общества, вопросам общественных и религиозных объединений",нет,010.000.000 Конституционный строй,Государственное строительство и конституционные права граждан,"Комитет Государственной Думы по развитию гражданского общества, вопросам общественных и религиозных объединений",Совместное ведение,Законом закреплено понятие – фиктивная постановка на учет по месту пребывания.,иностранным гражданам – обеспечить надлежащий порядок регистрации иностранных мигрантов по месту пребывания,пресечь нелегальные схемы оформления мигрантов по месту пребывания в т. н. «резиновых квартирах»
73,374020-7,Государственное строительство и конституционные права граждан,Гражданство и государственные символы,Реформа системы судов общей юрисдикции,ФЕДЕРАЛЬНЫЙ КОНСТИТУЦИОННЫЙ ЗАКОН ОТ 29.07.2018 № 1-ФКЗ «О внесении изменений в Федеральный конституционный закон «О судебной системе Российской Федерации» и отдельные федеральные конституционные законы в связи с созданием кассационных судов общей юрисдикции и апелляционных судов общей юрисдикции»,17.07.2018,172,Верховный Суд Российской Федерации,Федеральный конституционный закон,Комитет Государственной Думы по государственному строительству и законодательству,нет,"180.000.000 Правосудие, 180.020.000 Судоустройство. Судебная система",Государственное строительство и конституционные права граждан,Комитет Государственной Думы по государственному строительству и законодательству,"Ведение РФ, вопрос ведения: Ведение Верховного Суда РФ","Законом созданы кассационные и апелляционные суды в системе судов общей юрисдикции, а также оптимизирована судебная нагрузка.",обжаловать судебные решения в судебных инстанциях судов общей юрисдикции с учетом повышения их беспристрастности и независимости,"повысить эффективность судопроизводства, судам – оптимизировать судебную нагрузку, дополнительно расширить численность федеральных судей."
74,423761-7,Государственное строительство и конституционные права граждан,Гражданство и государственные символы,Общественные наблюдатели на выборах,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 03.07.2018 № 184-ФЗ «О внесении изменений в Федеральный закон «Об основных гарантиях избирательных прав и права на участие в референдуме граждан Российской Федерации»,21.06.2018,90,"Депутаты Государственной Думы П.В.Крашенинников, О.П.Быков, А.И.Воевода, О.Ю.Баталина, М.Р.Хасанов, А.Г.Кобилев, В.В.Иванов, Ю.Н.Мищеряков, В.В.Селиверстов, А.Н.Ткачев, А.А.Гетта, Н.Н.Пилюс, А.А.Хохлов; Члены Совета Федерации А.А.Клишас, А.В.Кутепов, А.И.Широков, А.Д.Башкин",Федеральный закон,Комитет Государственной Думы по контролю и Регламенту,нет,010.000.000 Конституционный строй,Государственное строительство и конституционные права граждан,Комитет Государственной Думы по контролю и Регламенту,Совместное ведение,Закон предусматривает введение института общественных наблюдателей на региональных и муниципальных выборах.,контролировать избирательный процесс через участие общественных наблюдателей,"общественным организациям — расширить свои полномочия в сфере контроля за выборами регионального и муниципального уровня, государству — создать условия для повышения открытости избирательного процесса и доверия к результатам выборов"
75,156692-7,Государственное строительство и конституционные права граждан,Гражданство и государственные символы,Лишение гражданства за терроризм,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 29.07.2017 № 243-ФЗ «О внесении изменений в Федеральный закон «О гражданстве Российской Федерации» и статьи 8 и 14 Федерального закона «О правовом положении иностранных граждан в Российской Федерации»,30.07.2017,100,"Депутаты Государственной Думы В.В.Володин, В.А.Васильев, В.В.Жириновский, Г.А.Зюганов, С.М.Миронов, И.И.Мельников, И.В.Лебедев, И.А.Яровая, П.В.Крашенинников, М.В.Емельянов",Федеральный закон,Комитет Государственной Думы по государственному строительству и законодательству,нет,"010.000.000 Конституционный строй, 010.050.000 Население, 010.050.010 Гражданство (см. также 200.050.010)",Государственное строительство и конституционные права граждан,Комитет Государственной Думы по государственному строительству и законодательству,Ведение РФ,"Законом предусмотрено лишение гражданства России за терроризм, введена присяга при вступлении в гражданство, а также предложен упрощенный порядок вступления в гражданство для граждан Украины, признанных носителями русского языка.","гражданам Украины, являющимися носителями русского языка — получать российского гражданство по упрощенной процедуре","детально урегулировать вопросы, касающиеся основания отмены решения о приеме в гражданство РФ при совершении преступления террористической или экстремистской направленности"
76,307998-7 ,Государственное строительство и конституционные права граждан,Гражданство и государственные символы,Использование Государственного герба гражданами,ФЕДЕРАЛЬНЫЙ КОНСТИТУЦИОННЫЙ ЗАКОН ОТ 20.12.2017 № 4-ФКЗ «О внесении изменений в статью 7 Федерального конституционного закона «О государственном гербе Российской Федерации»,20.12.2017,42,"Депутаты Государственной Думы В.В.Володин, П.В.Крашенинников, В.М.Новиков",Федеральный конституционный закон,Комитет Государственной Думы по государственному строительству и законодательству,нет,"010.000.000 Конституционный строй, 010.020.000 Государственные символы Российской Федерации и субъектов Российской Федерации. Столицы, 010.020.010 Государственные символы Российской Федерации",Государственное строительство и конституционные права граждан,Комитет Государственной Думы по государственному строительству и законодательству,Ведение РФ,"Закон разрешает использование Государственного герба на форменной одежде государственных служащих, военнослужащих, а также – гражданам, организациям при производстве сувенирной продукции, на массовых публичных мероприятиях.",нет,популяризация государственной символики; повышению культуры использования геральдических знаков страны в жизни общества; воспитанию гражданственности и патриотизма
77,300536-7,Государственное строительство и конституционные права граждан,Гражданство и государственные символы,Общественные наблюдатели на выборах Президента,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 05.12.2017 № 374-ФЗ «О внесении изменений в Федеральный закон «О выборах Президента Российской Федерации»,24.11.2017,24,"Депутаты Государственной Думы П.В.Крашенинников, А.Е.Загребин, В.И.Синяговский, В.В.Бузилов; Член Совета Федерации А.А.Клишас",Федеральный закон,Комитет Государственной Думы по государственному строительству и законодательству,нет,010.090.000 Президент Российской Федерации,Государственное строительство и конституционные права граждан,Комитет Государственной Думы по государственному строительству и законодательству,Ведение РФ,Закон предусматривает наделение Общественных палат РФ и субъектов РФ правом направлять своих наблюдателей в избирательные комиссии на выборах Президента РФ.,контролировать избирательный процесс через своих представителей в Общественных палатах,Общественным палатам РФ и субъектов РФ — расширить свои полномочия в сфере контроля за выборами Президента РФ; создать условия для повышения открытости избирательного процесса и доверия к результатам выборов
78,156690-7 ,Государственное строительство и конституционные права граждан,Гражданство и государственные символы,Условия для отмены решения о приобретении гражданства,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 29.07.2017 № 251-ФЗ «О внесении изменения в статью 393 Уголовно-процессуального кодекса Российской Федерации»,30.07.2017,100,"Депутаты Государственной Думы В.В.Володин, В.А.Васильев, В.В.Жириновский, Г.А.Зюганов, С.М.Миронов, И.И.Мельников, И.В.Лебедев, И.А.Яровая, П.В.Крашенинников, М.В.Емельянов",Федеральный закон,Комитет Государственной Думы по государственному строительству и законодательству,нет,180.000.000 Правосудие,Государственное строительство и конституционные права граждан,Комитет Государственной Думы по государственному строительству и законодательству,Ведение РФ,Закон определяет условия информирования органов в области обеспечения безопасности и (или) ведающих делами о гражданстве Российской Федерации о наличии обвинительного приговора в отношении получивших российское гражданство граждан.,"защитить от преступлений, совершаемых незаконными мигрантами","повысить уровень обеспечения безопасности, в частности, от преступлений террористического и экстремистского характера; усовершенствовать контроль при предоставлении гражданства РФ"
79,163832-7,Государственное строительство и конституционные права граждан,Парламентский контроль,Взаимодействие с исполнительной властью,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 29.07.2017 № 227-ФЗ «О внесении изменений в статьи 2 и 16 Федерального закона «О статусе члена Совета Федерации и статусе депутата Государственной Думы Федерального Собрания Российской Федерации» и статьи 4 и 5 Федерального закона «Об общих принципах организации законодательных (представительных) и исполнительных органов государственной власти субъектов Российской Федерации»,20.07.2017,79,"Депутаты Государственной Думы В.В.Володин, П.В.Крашенинников; Члены Совета Федерации В.И.Матвиенко, А.А.Клишас",Федеральный закон,Комитет Государственной Думы по государственному строительству и законодательству,Комитет Государственной Думы по федеративному устройству и вопросам местного самоуправления,010.000.000 Конституционный строй,Государственное строительство и конституционные права граждан,Комитет Государственной Думы по государственному строительству и законодательству,Совместное ведение,Закон предусматривает наделение законодательных органов субъектов РФ правом заслушивать на заседаниях информацию о результатах деятельности территориальных подразделений федеральных органов исполнительной власти (ФОИВ).,получать актуальную и достоверную информацию о социально-экономическом положении в регионах,"повысить эффективность системы государственного управления, укрепить законность и правопорядок в регионах"
80,17731-7,Государственное строительство и конституционные права граждан,Парламентский контроль,Парламентский контроль,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 07.02.2017 № 11-ФЗ «О внесении изменений в Федеральный закон «О Счетной палате Российской Федерации и статью 28.3 Кодекса Российской Федерации об административных правонарушениях»,25.01.2017,85,"Депутаты Государственной Думы Н.В.Любимов, И.Е.Марьяш, А.З.Фаррахов, И.И.Белеков",Федеральный закон,Комитет Государственной Думы по бюджету и налогам,Комитет Государственной Думы по государственному строительству и законодательству,080.000.000 Финансы,"Бюджетное, налоговое, финансовое законодательство",Комитет Государственной Думы по бюджету и налогам,Совместное ведение,Закон предусматривает комплекс мер по совершенствованию системы парламентского контроля в части уточнения порядка осуществления контрольной и экспертно-аналитической деятельности Счетной палатой РФ.,получать из отчетов Счетной палаты РФ более полную и достоверную информацию и расходовании бюджетных средств,в лице Счетной палаты проводить проверки бюджетов субъектов РФ и местных бюджетов — получателей межбюджетных трансфертов из бюджетов государственных внебюджетных фондов РФ и реализовывать другие функции
81,653568-7,Государственное строительство и конституционные права граждан,Экология и животный мир,Ответственность за добычу краснокнижных животных,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 16.10.2019 № 340-ФЗ «О внесении изменений в статью 258-1 Уголовного кодекса Российской Федерации»,24.09.2019,210,Правительство Российской Федерации,Федеральный закон,Комитет Государственной Думы по государственному строительству и законодательству,нет,"170.000.000 Уголовное право. Исполнение наказаний, 170.020.000 Особенная часть",Государственное строительство и конституционные права граждан,Комитет Государственной Думы по государственному строительству и законодательству,Ведение РФ,"Усилена уголовная ответственность за незаконную добычу и оборот особо ценных диких животных и водных биологических ресурсов, принадлежащих к видам, занесенным в Красную книгу РФ.",нет,"пресекать преступления, которые часто совершаются профессиональными скупщиками и контрабандистами в сговоре, и способствовать сохранению краснокнижных видов"
82,717365-7,Государственное строительство и конституционные права граждан,Экология и животный мир,Эксперимент по квотированию выбросов,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 26.07.2019 № 195-ФЗ «О проведении эксперимента по квотированию выбросов загрязняющих веществ и внесении изменений в отдельные законодательные акты Российской Федерации в части снижения загрязнения атмосферного воздуха»,17.07.2019,54,Правительство Российской Федерации,Федеральный закон,Комитет Государственной Думы по экологии и охране окружающей среды,нет,110.090.000 Охрана атмосферного воздуха,Государственное строительство и конституционные права граждан,Комитет Государственной Думы по экологии и охране окружающей среды,нет,Закон предусматривает проведение с 01.01.2020 по 31.12.2024 эксперимента по квотированию загрязняющих воздух выбросов в крупных промышленных центрах.,жить в экологически благоприятных условиях,производству – пересмотреть свою экологическую политику в соответствии с требованиями к заботе об окружающей среде;  снизить уровень вредных выбросов в атмосферу
83,332762-7 ,Государственное строительство и конституционные права граждан,Экология и животный мир,Возмещение ущерба местам обитания коренным малочисленных народов,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 26.07.2019 № 234-ФЗ «О внесении изменений в статьи 5 и 8 Федерального закона «О гарантиях прав коренных малочисленных народов Российской Федерации»,17.07.2019,589,Правительство Российской Федерации,Федеральный закон,Комитет Государственной Думы по делам национальностей,"Комитет Государственной Думы по энергетике, Комитет Государственной Думы по региональной политике и проблемам Севера и Дальнего Востока","010.000.000 Конституционный строй, 010.060.000 Права, свободы и обязанности человека и гражданина",Государственное строительство и конституционные права граждан,Комитет Государственной Думы по делам национальностей,Совместное ведение,"Закон предоставил Правительству РФ право определять порядок возмещения ущерба среде обитания коренных малочисленных народов, нанесенного деятельностью организаций, физ/лиц.","гражданам (из числа коренных малочисленных народов) – жить в традиционной, не испорченной внешним воздействием среде","обеспечить сохранность среды обитания коренных малочисленных народов, поддержать их численность на прежнем уровне"
84,458458-5,Государственное строительство и конституционные права граждан,Экология и животный мир,Ответственное обращение с животными,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 27.12.2018 № 498-ФЗ «Об ответственном обращении с животными и о внесении изменений в отдельные законодательные акты Российской Федерации»,19.12.2018,2952,"Депутаты Государственной Думы Е.А.Туголуков, В.Р.Мединский, А.Н.Нюдюрбегов, В.А.Пехтин, Л.В.Пепеляева, Ю.Н.Волков, В.П.Таскаев, Н.В.Расторгуев, М.Н.Гасанов, С.Ю.Осадчий, В.В.Зубарев, С.И.Колесников, М.Л.Шаккум, С.Г.Иткулов, В.И.Таранин",Федеральный закон,Комитет Государственной Думы по экологии и охране окружающей среды,"Комитет Государственной Думы по вопросам местного самоуправления, Комитет Государственной Думы по федеративному устройству и вопросам местного самоуправления",110.000.000 Природные ресурсы и охрана окружающей природной среды,Государственное строительство и конституционные права граждан,"Комитет Государственной Думы по природным ресурсам, природопользованию и экологии",Совместное ведение,"Законом закрепляются принципы и требования к содержанию животных, их перевозке, основы волонтерской деятельности в области защиты животных, общественный контроль в области ответственного обращения с животными, особые условия, обеспечивающие защиту людей от угрозы причинения вреда их жизни и здоровью животными.",получить защиту от собак опасных пород; волонтерам – осуществлять защиту животных ,регулировать сферу обращения с животными
85,200303-6,Государственное строительство и конституционные права граждан,Экология и животный мир,Любительская рыбалка,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 25.12.2018 № 475-ФЗ «О любительском рыболовстве и о внесении изменений в отдельные законодательные акты Российской Федерации»,12.12.2018,2172,Правительство Российской Федерации,Федеральный закон,"Комитет Государственной Думы по природным ресурсам, собственности и земельным отношениям","Комитет Государственной Думы по бюджету и налогам, Комитет Государственной Думы по федеративному устройству и вопросам местного самоуправления",110.000.000 Природные ресурсы и охрана окружающей природной среды,Экономическая политика,"Комитет Государственной Думы по природным ресурсам, природопользованию и экологии",Совместное ведение,"Законом закрепляется свободная и бесплатная любительская рыбалка, отменены рыбопромысловые базы, запрещается использовать жаберные сети.",рыбакам – свободно и бесплатно заниматься рыбалкой," снять административные барьеры для рыбаков-любителей; закрепить за юридическим лицом или индивидуальным предпринимателем обязательство проводить при осуществлении любительского рыболовства комплекс мероприятий по сохранению водных биоресурсов и среды их обитания, зарыблению и рыбохозяйственной мелиорации на рыболовном участке"
86,381549-7,Государственное строительство и конституционные права граждан,Экология и животный мир,Восстановление лесных насаждений,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 19.07.2018 № 212-ФЗ «О внесении изменений в Лесной кодекс Российской Федерации и отдельные законодательные акты Российской Федерации в части совершенствования воспроизводства лесов и лесоразведения»,03.07.2018,148,Правительство Российской Федерации,Федеральный закон,"Комитет Государственной Думы по природным ресурсам, собственности и земельным отношениям",Комитет Государственной Думы по энергетике,110.000.000 Природные ресурсы и охрана окружающей природной среды,Экономическая политика,"Комитет Государственной Думы по природным ресурсам, собственности и земельным отношениям",Совместное ведение,"Законом предусматривается проведение обязательных мероприятий по лесоразведению и лесовосстановлению и обязанность лиц, использующих лес, восстанавливать вырубленные леса.",жить в условиях комфортной экологической среды,устанавливать ответственность за нарушение требований лесного законодательства по воспроизводству лесов и лесоразведению
